Timeframe,Leader,Follower,Leader_Signals,Valid_Cases,Matching_Directions,Hit_Rate,Avg_Delay_Bars
M5,EURUSD,GBPUSD,333,282,282,1.0,2.18
M5,EURUSD,USDJPY,333,270,270,1.0,2.1
M5,EURUSD,AUDUSD,333,275,275,1.0,2.07
M5,EURUSD,USDCAD,333,267,267,1.0,2.15
M5,EURUSD,USDCHF,333,270,270,1.0,2.29
M5,EURUSD,NZDUSD,333,279,279,1.0,2.18
M5,EURUSD,XAUUSD,333,272,272,1.0,2.44
M5,GBPUSD,EURUSD,363,311,311,1.0,1.92
M5,GBPUSD,USDJPY,363,296,296,1.0,2.14
M5,GBPUSD,AUDUSD,363,308,308,1.0,2.06
M5,GBPUSD,USDCAD,363,290,290,1.0,2.32
M5,GBPUSD,USDCHF,363,289,289,1.0,2.4
M5,GBPUSD,NZDUSD,363,308,308,1.0,2.35
M5,GBPUSD,XAUUSD,363,301,301,1.0,2.3
M5,USDJPY,EURUSD,349,293,293,1.0,2.13
M5,USDJPY,GBPUSD,349,290,290,1.0,2.19
M5,USDJPY,AUDUSD,349,276,276,1.0,2.2
M5,USDJPY,USDCAD,349,284,284,1.0,2.12
M5,USDJPY,USDCHF,349,287,287,1.0,2.2
M5,USDJPY,NZDUSD,349,280,280,1.0,2.04
M5,USDJPY,XAUUSD,349,276,276,1.0,2.18
M5,AUDUSD,EURUSD,559,456,456,1.0,2.15
M5,AUDUSD,GBPUSD,559,470,470,1.0,2.25
M5,AUDUSD,USDJPY,559,438,438,1.0,2.23
M5,AUDUSD,USDCAD,559,443,443,1.0,2.13
M5,AUDUSD,USDCHF,559,450,450,1.0,2.19
M5,AUDUSD,NZDUSD,559,466,466,1.0,2.17
M5,AUDUSD,XAUUSD,559,464,464,1.0,2.26
M5,USDCAD,EURUSD,588,481,481,1.0,2.19
M5,USDCAD,GBPUSD,588,472,472,1.0,2.28
M5,USDCAD,USDJPY,588,477,477,1.0,2.22
M5,USDCAD,AUDUSD,588,463,463,1.0,2.16
M5,USDCAD,USDCHF,588,480,480,1.0,2.12
M5,USDCAD,NZDUSD,588,476,476,1.0,2.27
M5,USDCAD,XAUUSD,588,471,471,1.0,2.05
M5,USDCHF,EURUSD,599,478,478,1.0,2.29
M5,USDCHF,GBPUSD,599,488,488,1.0,2.34
M5,USDCHF,USDJPY,599,508,508,1.0,2.06
M5,USDCHF,AUDUSD,599,465,465,1.0,2.17
M5,USDCHF,USDCAD,599,501,501,1.0,2.02
M5,USDCHF,NZDUSD,599,468,468,1.0,2.29
M5,USDCHF,XAUUSD,599,471,471,1.0,2.14
M5,NZDUSD,EURUSD,691,566,566,1.0,2.08
M5,NZDUSD,GBPUSD,691,573,573,1.0,2.25
M5,NZDUSD,USDJPY,691,559,559,1.0,2.18
M5,NZDUSD,AUDUSD,691,586,586,1.0,2.16
M5,NZDUSD,USDCAD,691,554,554,1.0,2.18
M5,NZDUSD,USDCHF,691,561,561,1.0,2.19
M5,NZDUSD,XAUUSD,691,565,565,1.0,2.18
M5,XAUUSD,EURUSD,236,202,202,1.0,2.11
M5,XAUUSD,GBPUSD,236,190,190,1.0,2.28
M5,XAUUSD,USDJPY,236,183,183,1.0,2.0
M5,XAUUSD,AUDUSD,236,197,197,1.0,2.11
M5,XAUUSD,USDCAD,236,190,190,1.0,2.44
M5,XAUUSD,USDCHF,236,183,183,1.0,2.31
M5,XAUUSD,NZDUSD,236,190,190,1.0,2.05
M15,EURUSD,GBPUSD,50,44,44,1.0,2.02
M15,EURUSD,USDJPY,50,38,38,1.0,2.11
M15,EURUSD,AUDUSD,50,41,41,1.0,1.76
M15,EURUSD,USDCAD,50,41,41,1.0,2.07
M15,EURUSD,USDCHF,50,40,40,1.0,3.02
M15,EURUSD,NZDUSD,50,42,42,1.0,1.71
M15,EURUSD,XAUUSD,50,44,44,1.0,1.84
M15,GBPUSD,EURUSD,53,44,44,1.0,2.3
M15,GBPUSD,USDJPY,53,41,41,1.0,1.73
M15,GBPUSD,AUDUSD,53,47,47,1.0,1.83
M15,GBPUSD,USDCAD,53,44,44,1.0,2.02
M15,GBPUSD,USDCHF,53,44,44,1.0,1.93
M15,GBPUSD,NZDUSD,53,47,47,1.0,2.13
M15,GBPUSD,XAUUSD,53,44,44,1.0,2.16
M15,USDJPY,EURUSD,64,54,54,1.0,1.96
M15,USDJPY,GBPUSD,64,57,57,1.0,1.84
M15,USDJPY,AUDUSD,64,56,56,1.0,2.38
M15,USDJPY,USDCAD,64,41,41,1.0,2.34
M15,USDJPY,USDCHF,64,50,50,1.0,2.2
M15,USDJPY,NZDUSD,64,59,59,1.0,2.15
M15,USDJPY,XAUUSD,64,52,52,1.0,1.88
M15,AUDUSD,EURUSD,76,65,65,1.0,2.66
M15,AUDUSD,GBPUSD,76,65,65,1.0,2.23
M15,AUDUSD,USDJPY,76,63,63,1.0,1.75
M15,AUDUSD,USDCAD,76,62,62,1.0,1.84
M15,AUDUSD,USDCHF,76,63,63,1.0,2.0
M15,AUDUSD,NZDUSD,76,68,68,1.0,2.22
M15,AUDUSD,XAUUSD,76,60,60,1.0,2.35
M15,USDCAD,EURUSD,90,73,73,1.0,2.12
M15,USDCAD,GBPUSD,90,70,70,1.0,2.26
M15,USDCAD,USDJPY,90,80,80,1.0,2.3
M15,USDCAD,AUDUSD,90,72,72,1.0,2.32
M15,USDCAD,USDCHF,90,75,75,1.0,1.71
M15,USDCAD,NZDUSD,90,68,68,1.0,2.25
M15,USDCAD,XAUUSD,90,72,72,1.0,2.32
M15,USDCHF,EURUSD,107,84,84,1.0,1.98
M15,USDCHF,GBPUSD,107,80,80,1.0,2.02
M15,USDCHF,USDJPY,107,91,91,1.0,1.99
M15,USDCHF,AUDUSD,107,87,87,1.0,2.06
M15,USDCHF,USDCAD,107,82,82,1.0,2.11
M15,USDCHF,NZDUSD,107,80,80,1.0,2.06
M15,USDCHF,XAUUSD,107,84,84,1.0,2.02
M15,NZDUSD,EURUSD,124,110,110,1.0,2.37
M15,NZDUSD,GBPUSD,124,107,107,1.0,2.14
M15,NZDUSD,USDJPY,124,99,99,1.0,2.28
M15,NZDUSD,AUDUSD,124,105,105,1.0,2.31
M15,NZDUSD,USDCAD,124,95,95,1.0,1.97
M15,NZDUSD,USDCHF,124,99,99,1.0,2.27
M15,NZDUSD,XAUUSD,124,94,94,1.0,2.15
M15,XAUUSD,EURUSD,40,33,33,1.0,1.45
M15,XAUUSD,GBPUSD,40,36,36,1.0,1.83
M15,XAUUSD,USDJPY,40,33,33,1.0,2.58
M15,XAUUSD,AUDUSD,40,33,33,1.0,1.73
M15,XAUUSD,USDCAD,40,30,30,1.0,2.47
M15,XAUUSD,USDCHF,40,30,30,1.0,3.07
M15,XAUUSD,NZDUSD,40,35,35,1.0,2.09
